Nama Kecamatan,NPSN,Nama Sekolah,Alamat,Desa/Kelurahan,Kecamatan/Kota (LN),Kab.-Kota/Negara (LN),Propinsi/Luar Negeri (LN),Status Sekolah,Bentuk Pendidikan,Jenjang Pendidikan,Lintang,Bujur
Ciwidey,69886201,MIS Baitul Ghofur,Kp. Baru Sampeu Rt.01 Rw.11,LEBAKMUNCANG,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MI,DIKDAS,-7.088074,107.459973
Ciwidey,69982929,MIS BIRRUL WALIDAIN,KP. SUKAHAJI,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MI,DIKDAS,-7.1015,107.4323
Ciwidey,60707764,MIS MA SUKASIRNA,Surakerta  No. 14,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MI,DIKDAS,-7.0769,107.4538
Ciwidey,60707765,MIS MATHLAUL ANWAR SUKAWENING,JL.CIWIDEY-SUKAWENING KM.04,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MI,DIKDAS,-7.0745,107.4677
Ciwidey,60707766,MIS PANYOCOKAN I,Jl. Ciwidey-Panyocokan Km. 01 No. 003 Desa Panyocokan,PANYOCOKAN,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MI,DIKDAS,-7.093,107.4655
Ciwidey,60707767,MIS PANYOCOKAN II,"Jl. Ciwidey-Panyocokan Km. 1, No. 003 Desa Panyocokan",PANYOCOKAN,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MI,DIKDAS,-7.093,107.4655
Ciwidey,60707768,MIS RANCAGEDE,Jl. Kehutananan KM.2 Rancagede Ciwidey,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MI,DIKDAS,-7.1644,107.3263
Ciwidey,20278094,MTSS AL-HUDA MA RANCAGEDE CIWIDEY,Jl. Kehutanan Cibeber Km.2 Ciwidey Rt. 03/28,LEBAKMUNCANG,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,DIKDAS,-7.1042,107.4467
Ciwidey,20278095,MTSS MA SUKAWENING,Jl. Ciwidey Sukawening Km. 04,SUKAWENING,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,DIKDAS,-7.0744,107.4678
Ciwidey,20278100,MTSS NURUL HIDAYAH MIFTAHURROJA,Jln. Ciwidey Lebakmuncang Km. 06 RT. 02 RW. 05,LEBAKMUNCANG,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,DIKDAS,-7.0886,107.45
Ciwidey,20278096,MTSS PERSIS AL-MANAR,Jl. Raya Sukasari No. 85,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,DIKDAS,-7.104486,107.42435
Ciwidey,20278097,MTSS SALAFIYAH AL-MUSLIHIN,Jl.Desa Nengkelan Ciwidey KM 05 Bandung 40973,NENGKELAN,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,DIKDAS,-7.0771,107.4578
Ciwidey,20278098,MTSS WANASARI,Jl. Ciwidey Panyocokan Km.01,PANYOCOKAN,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,DIKDAS,-7.0932,107.4648
Ciwidey,20278099,MTSS YAMISA CIWIDEY,Jl. Otong Kardana / Komp Mesjid Besar,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,DIKDAS,-7.1029,107.4625
Ciwidey,69927337,MTsSUlul Albab Ciwidey,Jl. Gombong Pasirmala Rt/rw.02/17,PANYOCOKAN,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,SWASTA,MTs,DIKDAS,-7.1011,107.4557
Ciwidey,20206726,SDN AWISURAT,Kp. Awisurat,PANYOCOKAN,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.0841,107.4577
Ciwidey,20206699,SDN BABAKAN TIGA,Jln. Babakantiga No. 68,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.100331,107.465594
Ciwidey,20207018,SDN BATUKASUR,Jl.Batukasur,PANUNDAAN,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.1052,107.4348
Ciwidey,20206877,SDN BOJONG JAMBU,Kp. Bojong Jambu,SUKAWENING,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.071654,107.468866
Ciwidey,20206878,SDN BOJONGGADOG,Kp.Bojonggadog,RAWABOGO,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.0821,107.4435
Ciwidey,20207874,SDN CIBODAS,Kp. Cibodas,LEBAKMUNCANG,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.0977,107.4377
Ciwidey,20207923,SDN CIBULAN,KP. CIBITUNG,SUKAWENING,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.063006,107.473321
Ciwidey,20208088,SDN CIJERUK,Kp. Babakan Cijeruk,SUKAWENING,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.069996,107.469834
Ciwidey,20207433,SDN CIPARIGI,Kp. Ciparigi,RAWABOGO,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.0626,107.4429
Ciwidey,20207732,SDN CISUREN,Kp. Cisuren Rt 01 Rw 05,RAWABOGO,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.0736,107.4343
Ciwidey,20207821,SDN CIWIDEY 01,Jln. Bhayangkara No. 346,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.103,107.4622
Ciwidey,20207830,SDN CIWIDEY 03,Kp. Sukasari,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.1041,107.4596
Ciwidey,20207829,SDN CIWIDEY 04,Jl. Bhayangkara No. 51,CIWIDEY,KEC. CIWIDEY,KAB. BANDUNG,PROV. JAWA BARAT,NEGERI,SD,DIKDAS,-7.1039,107.4636
